starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 16 13:02:06 2018	1523905326	0	9	9	9
Mon Apr 16 13:02:02 2018	1523905322	0	9	9	7
Mon Apr 16 13:02:07 2018	1523905327	0	10	10	10
Mon Apr 16 13:02:04 2018	1523905324	0	10	10	10
Mon Apr 16 13:02:04 2018	1523905324	0	11	11	11
Mon Apr 16 13:02:07 2018	1523905327	0	11	11	11
Mon Apr 16 13:02:06 2018	1523905326	0	11	11	11
Mon Apr 16 13:02:04 2018	1523905324	0	11	11	11
Mon Apr 16 13:02:04 2018	1523905324	0	11	11	11
Mon Apr 16 13:02:04 2018	1523905324	0	12	12	12
Mon Apr 16 13:02:06 2018	1523905326	0	12	12	12
Mon Apr 16 13:02:05 2018	1523905325	1	11	12	11
Mon Apr 16 13:02:07 2018	1523905327	0	12	12	12
Mon Apr 16 13:02:07 2018	1523905327	0	12	12	12
Mon Apr 16 13:02:04 2018	1523905324	1	11	12	11
Mon Apr 16 13:02:07 2018	1523905327	1	11	12	11
Mon Apr 16 13:02:05 2018	1523905325	1	12	13	12
Mon Apr 16 13:02:05 2018	1523905325	1	12	13	12
Mon Apr 16 13:02:05 2018	1523905325	1	12	13	12
Mon Apr 16 13:02:05 2018	1523905325	0	13	13	13
Mon Apr 16 13:02:06 2018	1523905326	0	13	13	13
Mon Apr 16 13:02:07 2018	1523905327	1	12	13	12
Mon Apr 16 13:02:06 2018	1523905326	0	14	14	14
Mon Apr 16 13:02:07 2018	1523905327	0	14	14	14
Mon Apr 16 13:02:04 2018	1523905324	1	13	14	13
Mon Apr 16 13:02:07 2018	1523905327	0	14	14	13
Mon Apr 16 13:02:04 2018	1523905324	0	14	14	14
Mon Apr 16 13:02:07 2018	1523905327	0	15	15	15
Mon Apr 16 13:02:07 2018	1523905327	1	14	15	14
Mon Apr 16 13:02:04 2018	1523905324	0	15	15	15
Mon Apr 16 13:02:07 2018	1523905327	1	14	15	14
Mon Apr 16 13:02:07 2018	1523905327	0	15	15	15
Mon Apr 16 13:02:06 2018	1523905326	0	15	15	15
Mon Apr 16 13:02:06 2018	1523905326	0	15	15	15
Mon Apr 16 13:02:06 2018	1523905326	0	15	15	14
Mon Apr 16 13:02:07 2018	1523905327	0	15	15	15
Mon Apr 16 13:02:07 2018	1523905327	1	14	15	14
Mon Apr 16 13:02:05 2018	1523905325	1	14	15	14
Mon Apr 16 13:02:06 2018	1523905326	1	15	16	15
Mon Apr 16 13:02:04 2018	1523905324	1	15	16	15
Mon Apr 16 13:02:07 2018	1523905327	1	15	16	15
Mon Apr 16 13:02:05 2018	1523905325	0	16	16	16
Mon Apr 16 13:02:04 2018	1523905324	0	16	16	16
Mon Apr 16 13:02:07 2018	1523905327	1	15	16	14
Mon Apr 16 13:02:07 2018	1523905327	0	16	16	15
Mon Apr 16 13:02:04 2018	1523905324	0	16	16	16
Mon Apr 16 13:02:07 2018	1523905327	0	16	16	16
Mon Apr 16 13:02:04 2018	1523905324	0	16	16	16
Mon Apr 16 13:02:06 2018	1523905326	0	17	17	17
Mon Apr 16 13:02:06 2018	1523905326	0	17	17	17
Mon Apr 16 13:02:05 2018	1523905325	0	17	17	17
Mon Apr 16 13:02:07 2018	1523905327	0	17	17	17
Mon Apr 16 13:02:07 2018	1523905327	0	17	17	17
Mon Apr 16 13:02:04 2018	1523905324	1	16	17	16
Mon Apr 16 13:02:04 2018	1523905324	0	17	17	17
Mon Apr 16 13:02:07 2018	1523905327	1	16	17	16
Mon Apr 16 13:02:04 2018	1523905324	0	17	17	17
Mon Apr 16 13:02:04 2018	1523905324	0	17	17	17
Mon Apr 16 13:02:04 2018	1523905324	0	17	17	17
Mon Apr 16 13:02:04 2018	1523905324	0	17	17	16
Mon Apr 16 13:02:07 2018	1523905327	0	17	17	17
Mon Apr 16 13:02:04 2018	1523905324	0	17	17	17
Mon Apr 16 13:02:06 2018	1523905326	0	17	17	17
Mon Apr 16 13:02:06 2018	1523905326	0	17	17	17
Mon Apr 16 13:02:04 2018	1523905324	0	17	17	17
Mon Apr 16 13:02:04 2018	1523905324	1	16	17	16
Mon Apr 16 13:02:07 2018	1523905327	1	17	18	17
Mon Apr 16 13:02:07 2018	1523905327	0	18	18	18
Mon Apr 16 13:02:06 2018	1523905326	0	18	18	18
Mon Apr 16 13:02:06 2018	1523905326	1	17	18	17
Mon Apr 16 13:02:07 2018	1523905327	0	18	18	18
Mon Apr 16 13:02:06 2018	1523905326	0	18	18	18
Mon Apr 16 13:02:07 2018	1523905327	0	18	18	18
Mon Apr 16 13:02:02 2018	1523905322	1	17	18	17
Mon Apr 16 13:02:07 2018	1523905327	0	18	18	18
Mon Apr 16 13:02:03 2018	1523905323	0	18	18	18
Mon Apr 16 13:02:04 2018	1523905324	0	18	18	18
Mon Apr 16 13:02:06 2018	1523905326	0	19	19	19
Mon Apr 16 13:02:05 2018	1523905325	0	19	19	19
Mon Apr 16 13:02:07 2018	1523905327	0	19	19	19
Mon Apr 16 13:02:04 2018	1523905324	1	18	19	18
Mon Apr 16 13:02:04 2018	1523905324	0	19	19	19
Mon Apr 16 13:02:05 2018	1523905325	0	19	19	19
Mon Apr 16 13:02:05 2018	1523905325	1	18	19	18
Mon Apr 16 13:02:06 2018	1523905326	1	18	19	18
Mon Apr 16 13:02:04 2018	1523905324	1	18	19	18
Mon Apr 16 13:02:06 2018	1523905326	1	18	19	18
Mon Apr 16 13:02:06 2018	1523905326	0	19	19	19
Mon Apr 16 13:02:05 2018	1523905325	0	19	19	19
Mon Apr 16 13:02:06 2018	1523905326	0	19	19	19
Mon Apr 16 13:02:07 2018	1523905327	0	19	19	19
Mon Apr 16 13:02:08 2018	1523905328	0	19	19	19
Mon Apr 16 13:02:05 2018	1523905325	0	19	19	19
Mon Apr 16 13:02:06 2018	1523905326	0	20	20	20
Mon Apr 16 13:02:06 2018	1523905326	0	20	20	20
Mon Apr 16 13:02:06 2018	1523905326	0	20	20	20
Mon Apr 16 13:02:07 2018	1523905327	0	20	20	20
Mon Apr 16 13:02:05 2018	1523905325	0	20	20	20
Mon Apr 16 13:02:04 2018	1523905324	0	20	20	20
Mon Apr 16 13:02:07 2018	1523905327	1	19	20	19
Mon Apr 16 13:02:06 2018	1523905326	0	20	20	20
Mon Apr 16 13:02:07 2018	1523905327	0	20	20	20
Mon Apr 16 13:02:04 2018	1523905324	0	20	20	20
Mon Apr 16 13:02:07 2018	1523905327	0	20	20	20
Mon Apr 16 13:02:05 2018	1523905325	0	20	20	20
Mon Apr 16 13:02:08 2018	1523905328	0	20	20	20
Mon Apr 16 13:02:07 2018	1523905327	0	20	20	20
Mon Apr 16 13:02:05 2018	1523905325	1	19	20	19
Mon Apr 16 13:02:07 2018	1523905327	0	20	20	20
Mon Apr 16 13:02:07 2018	1523905327	0	20	20	20
Mon Apr 16 13:02:05 2018	1523905325	0	20	20	20
Mon Apr 16 13:02:03 2018	1523905323	0	20	20	20
Mon Apr 16 13:02:04 2018	1523905324	0	21	21	21
Mon Apr 16 13:02:07 2018	1523905327	0	21	21	21
Mon Apr 16 13:02:05 2018	1523905325	0	21	21	21
Mon Apr 16 13:02:06 2018	1523905326	0	21	21	20
Mon Apr 16 13:02:03 2018	1523905323	1	20	21	20
Mon Apr 16 13:02:03 2018	1523905323	0	21	21	21
Mon Apr 16 13:02:07 2018	1523905327	1	20	21	20
Mon Apr 16 13:02:08 2018	1523905328	1	20	21	20
Mon Apr 16 13:02:03 2018	1523905323	0	21	21	21
Mon Apr 16 13:02:07 2018	1523905327	1	20	21	20
Mon Apr 16 13:02:05 2018	1523905325	0	21	21	21
Mon Apr 16 13:02:07 2018	1523905327	0	21	21	21
Mon Apr 16 13:02:07 2018	1523905327	0	21	21	21
Mon Apr 16 13:02:06 2018	1523905326	0	21	21	21
Mon Apr 16 13:02:07 2018	1523905327	1	20	21	20
Mon Apr 16 13:02:06 2018	1523905326	0	21	21	21
Mon Apr 16 13:02:07 2018	1523905327	1	20	21	20
Mon Apr 16 13:02:04 2018	1523905324	0	21	21	21
Mon Apr 16 13:02:06 2018	1523905326	0	21	21	21
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:05 2018	1523905325	0	22	22	22
Mon Apr 16 13:02:05 2018	1523905325	1	21	22	21
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	1	21	22	21
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:04 2018	1523905324	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:08 2018	1523905328	0	22	22	22
Mon Apr 16 13:02:03 2018	1523905323	0	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:04 2018	1523905324	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:04 2018	1523905324	1	21	22	21
Mon Apr 16 13:02:04 2018	1523905324	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:04 2018	1523905324	0	22	22	22
Mon Apr 16 13:02:04 2018	1523905324	0	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:05 2018	1523905325	0	22	22	22
Mon Apr 16 13:02:04 2018	1523905324	0	22	22	22
Mon Apr 16 13:02:08 2018	1523905328	1	22	22	21
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:04 2018	1523905324	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:05 2018	1523905325	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:04 2018	1523905324	0	22	22	22
Mon Apr 16 13:02:05 2018	1523905325	0	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	1	22	22	22
Mon Apr 16 13:02:05 2018	1523905325	1	22	22	22
Mon Apr 16 13:02:06 2018	1523905326	0	22	22	22
Mon Apr 16 13:02:05 2018	1523905325	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	22	22	22
Mon Apr 16 13:02:07 2018	1523905327	0	23	23	23
Mon Apr 16 13:02:08 2018	1523905328	0	23	23	23
Mon Apr 16 13:02:07 2018	1523905327	0	23	23	23
Mon Apr 16 13:02:04 2018	1523905324	0	23	23	23
Mon Apr 16 13:02:07 2018	1523905327	0	23	23	23
Mon Apr 16 13:02:05 2018	1523905325	0	23	23	23
Mon Apr 16 13:02:05 2018	1523905325	0	23	23	23
Mon Apr 16 13:02:05 2018	1523905325	1	22	23	22
Mon Apr 16 13:02:06 2018	1523905326	0	23	23	23
Mon Apr 16 13:02:05 2018	1523905325	0	23	23	22
